result_id,event_title,edition,edition_id,sport,sport_url,result_date,result_location,result_participants,result_format,result_detail,,,
30359,"Super-Heavyweight (>105 kilograms), Men",2004 Summer Olympics,26,Weightlifting,/editions/26/sports/WLF,"25 August 2004 — 16:30 (B), 20:00 (A)","Olympiako Gymnastirio Arsis Varon Nikaias, Nikaia",17 from 15 countries,Total of best lifts in snatch and clean & jerk determined placement.  Ties broken by lightest bodyweight.,na,,,
1626,"Giant Slalom, Women1",1998 Winter Olympics,46,Snowboarding,/editions/46/sports/SBD, 9 February 1998,"Mt. Yakebitai, Shiga Kogen, Yamanouchi",31 from 14 countries,"Two runs, total time determined placement.",Gates: 38 / 36Length: 936 mStart Altitude: 1960 mVertical Drop: 290 m,,,
76,"Singles, Men",1976 Winter Olympics,40,Luge,/editions/40/sports/LUG,4 –  7 February 1976,"Kunsteis-Bob- und Rodelbahn, Igls",43 from 15 countries,"Four runs, total time determined placement.",Curves: 14Length: 1220 mStart Altitude: ?Vertical Drop: 103 m,,,
962,"1,500 metres, Men",1928 Winter Olympics,30,Speed Skating,/editions/30/sports/SSK,14 February 1928 — 9:00,"Olympia-Eisstadion Badrutts Park, St. Moritz",30 from 14 countries,na,na,,,
258824,"Canadian Singles, Slalom, Men",2008 Summer Olympics,53,Canoe Slalom,/editions/53/sports/CSL,11 – 12 August 2008,"Shunyi Aolinpike Shuishang Gongyuan, Mapo, Shunyi",16 from 16 countries,na,na,,,
925522,"Singles, Handicap (Class II), Men",1900 Summer Olympics,2,Tennis,/editions/2/sports/TEN,6 – 11 July 1900,"Société des sports de l'île de Puteaux, Puteaux",15 from 3 countries,na,na,,,
58336,"Shot Put, Men",1936 Summer Olympics,11,Athletics,/editions/11/sports/ATH, 2 August 1936,"Olympiastadion, Reichssportfeld, Berlin",22 from 14 countries,na,na,,,
901207,"800 metres Wheelchair, Women",2004 Summer Olympics,26,Athletics,/editions/26/sports/ATH,22 August 2004 — 20:45,"Olympiako Stadio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",7 from 4 countries,na,na,,,
923582,"30 kilometres (Mass Start, Classical), Women",2010 Winter Olympics,57,Cross Country Skiing,/editions/57/sports/CCS,27 February 2010 — 11:45,"Whistler Olympic Park, Whistler",53 from 21 countries,na,"Course Length: 29,715 mHeight Differential: 85 mIntermediate 1: 7.1 kmIntermediate 2: 15.0 kmIntermediate 2: 22.3 kmMaximum Climb: 59 mTotal Climbing: 1,047 m",,,
900038,"Kayak Singles, 800 metres, Men",1924 Summer Olympics,8,Canoe Sprint,/editions/8/sports/CSP,14 July 1924,"Bassin d'Argenteuil, Paris",3 from 2 countries,na,na,,,
24775,"Light-Heavyweight (≤81 kilograms), Men",1976 Summer Olympics,19,Boxing,/editions/19/sports/BOX,19 – 31 July 1976,"Aréna Maurice-Richard, Montréal, Québec",18 from 18 countries,Single elimination tournament.,na,,,
925729,"220 yards Hurdles, Handicap - AAU Handicap Meet, Men",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH, 2 June 1904,"Francis Field, Washington University, St. Louis",3 from 1 countries,na,na,,,
350212,"Aerials, Men",2014 Winter Olympics,58,Freestyle Skiing,/editions/58/sports/FRS,17 February 2014,"Ekstrim-Park Rosa Khutor, Krasnaya Polyana",21 from 9 countries,na,Inrun Distance: 70 mInrun Gradient: 27°Kicker #1: 3.60 m - 56° - 2.10 mKicker #2: 6.00 m - 66° - 3.55 mKicker #3: 6.00 m - 66° - 3.60 mKicker #4: 7.50 m - 71.5° - 4.20 mKicker #6: 7.50 m - 71.5° - 4.25 mLanding Distance: 26 mLanding Gradient: 39°Start Elevation: ?Table Distance: 23 mTable Gradient: 0°Vertical Drop: ?,,,
124397,"Welterweight, Freestyle (≤73 kilograms), Men",1960 Summer Olympics,15,Wrestling,/editions/15/sports/WRE,1 –  6 September 1960,"Basilica di Massenzio, Roma",23 from 23 countries,"Scoring by negative points, with negative points given for any result short of a fall.  Accumulation of 6 negative points eliminated the wrestler. When three or fewer wrestlers remained, they advanced to a final round, with preliminary results carried forward.",na,,,
64560,"Javelin Throw, Women",1992 Summer Olympics,23,Athletics,/editions/23/sports/ATH,31 July –  1 August 1992,"Estadio Olímpico de Montjuïc, Barcelona",25 from 17 countries,na,na,,,
70108,"Rings, Men",1932 Summer Olympics,10,Artistic Gymnastics,/editions/10/sports/GAR,12 August 1932 — 8:00,"Los Angeles Memorial Coliseum, Los Angeles, California",14 from 6 countries,"Separate competition unrelated to all-around, with specialists allowed to compete on the apparatus.  Score based on compulsory and optional exercises on apparatus.",na,,,
920066,"Music, Compositions For Orchestra, Open",1948 Summer Olympics,12,Art Competitions,/editions/12/sports/ART,29 July – 14 August 1948,"Victoria & Albert Museum, London",15 from 8 countries,na,na,,,
21308,"Bantamweight (≤118 pounds), Men",1920 Summer Olympics,7,Boxing,/editions/7/sports/BOX,21 – 24 August 1920,"Feestzaal, Koninklijke Zoölogische Maatschappij, Antwerpen",12 from 7 countries,Single elimination tournament.,na,,,
16634,"Half-Middleweight (≤78 kilograms), Men",1988 Summer Olympics,22,Judo,/editions/22/sports/JUD,28 September 1988,"Jang-chung Che-yuk-gwan, Seoul",41 from 41 countries,"Two single-elimination pools, with winner of each pool advanced to the final. All judoka losing to the winner of each pool advanced to repêchage pools, with the winners of the repêchage pools earning bronze medals.",na,,,
9000909,"Cross, Men",2018 Winter Olympics,60,Snowboarding,/editions/60/sports/SBD,15 February 2018,"Phoenix Snow Park, Mountain Cluster, Bongpyeong",39 from 16 countries,na,Jeff Ihaksi,,,
86321,"Sabre, Team, Men",1948 Summer Olympics,12,Fencing,/editions/12/sports/FEN,10 – 11 August 1948,"Palace of Engineering, Wembley, London",85 from 17 countries,na,na,,,
259961,"Team All-Around, Men",2008 Summer Olympics,53,Artistic Gymnastics,/editions/53/sports/GAR,9 – 12 August 2008,"Guojia Tiyuguan, Beijing Aolinpike Gongyuan, Beijing",72 from 12 countries,na,na,,,
